Desktop	1280x720 50Hz
Date	6/25/2014
BalanceBoard	FALSE
StartTime	11:03 AM
EndTime	11:05 AM
Participant Code	1
Session	scene_definition.xml
Gameplay	Navigation


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	start	level_1	(3.9988; 44)	15.83219	0
	Action	forward	speed_1	(3.9988; 44)	22.7953	6.963114
	Action	forward	speed_2	(4.426822; 44)	23.22479	0.4294853
	Action	start lean	left	(5.839093; 44)	23.57215	0.3473625
	Action	stop lean	left	(6.486757; 44.16008)	23.68438	0.1122246
	Action	start lean	right	(7.326447; 44.32317)	23.82692	0.14254
	Action	stop lean	right	(7.848022; 44.25822)	23.91202	0.08510399
	Action	backward	speed_1	(9.21513; 44.12942)	24.14243	0.2304115
	Event	passed_obs	obs_bike	(9.541965; 44.11898)	24.23042	0.08798599
	Action	stop	intersection	(13.52822; 44.0991)	26.74499	2.514574
	Action	turn	right	(13.5886; 44.0991)	26.7767	0.03170586
	Event	gem_collected	2	(13.5886; 44.0991)	26.7767	0
	Action	start lean	right	(13.6224; 44.09806)	26.81918	0.04248619
	Action	stop lean	right	(13.70359; 44.06781)	26.90854	0.08935165
	Action	forward	speed_2	(15.32139; 41.13881)	29.60477	2.696239
	Event	hit_obs	obs_bike	(15.32139; 32.19181)	31.21687	1.612095
	Action	backward	speed_1	(15.32139; 30.55272)	31.46474	0.2478714
	Event	start	level_2	(4.998799; 53.9988)	39.64515	8.180405
	Action	forward	speed_1	(4.998799; 53.9988)	46.54155	6.8964
	Action	start lean	left	(5.265453; 53.9988)	46.88042	0.338871
	Action	stop lean	left	(5.498333; 54.06705)	47.06078	0.1803589
	Action	start lean	left	(5.703858; 54.11756)	47.21049	0.1497192
	Action	stop lean	left	(6.115672; 54.28816)	47.50878	0.2982864
	Action	start lean	left	(6.518453; 54.38035)	47.79816	0.2893753
	Action	stop lean	left	(7.286273; 54.73542)	48.3469	0.548748
	Action	start lean	right	(7.39091; 54.77997)	48.42191	0.07500839
	Action	stop lean	right	(7.542831; 54.78868)	48.53163	0.1097183
	Action	start lean	right	(7.799259; 54.77733)	48.71353	0.1818962
	Action	stop lean	right	(7.963766; 54.74145)	48.82822	0.1146965
	Action	start lean	right	(9.893733; 54.66927)	50.20794	1.379715
	Event	passed_obs	obs_pole	(10.54404; 54.39825)	50.70964	0.5017014
	Action	stop lean	right	(10.59702; 54.36812)	50.70964	0
	Action	stop	intersection	(14.52323; 54.24685)	53.55209	2.842445
	Action	turn	left	(14.71234; 54.24685)	53.87741	0.3253288
	Event	gem_collected	1	(14.71234; 54.24685)	53.87741	0
	Action	start lean	left	(14.71936; 54.24703)	53.91845	0.0410347
	Action	stop lean	left	(14.75104; 54.26506)	53.99049	0.07203674
	Event	start	level_3	(72; 42.0024)	63.48053	9.490047
	Action	forward	speed_1	(72; 42.0024)	70.42897	6.948437
	Action	start lean	left	(72; 41.55244)	70.90043	0.4714584
	Event	hit_ped	PedestrianCollider	(72.74553; 40.11405)	71.97678	1.076355
	Action	stop lean	left	(73.08094; 39.55463)	72.33504	0.3582611
	Action	start lean	right	(73.10999; 39.49484)	72.37691	0.04186249
	Event	hit_ped	PedestrianCollider	(73.10999; 39.49484)	72.41885	0.04194641
	Event	hit_ped	PedestrianCollider	(73.01736; 38.985)	72.78587	0.367012
	Action	stop lean	right	(72.49819; 38.07244)	73.39635	0.6104813
	Action	start lean	right	(72.36852; 36.92566)	74.21642	0.8200684
	Event	passed_obs	obs_roadpuddle	(72.20731; 36.47993)	74.57244	0.3560257
	Action	stop lean	right	(71.40569; 35.11227)	75.51369	0.9412537
	Action	backward	stop	(71.34649; 34.96407)	75.6196	0.1059036


Summary
Target	Actual distance	Manhattan distance	Time Elapsed	Stars	Obstacle Passed	Obstacle Hit	Pedestrian Hit	Level


Map Info
Intersections	(0,0)(28,0)(46,0)(72,0)(109,0)(0,15)(28,15)(46,15)(72,15)(109,15)(0,30)(28,30)(46,30)(72,30)(109,30)(0,45)(28,45)(46,45)(72,45)(109,45)
Targets	(87.92747,34.77419)(1.916107,3.424138)(25.77419,14.07252)(65.54472,44.91761)(52.77419,58.07253)(87.92747,34.77419)(52.77419,58.07253)(65.54472,44.91761)(25.77419,14.07252)(1.916107,3.424138)(1.916107,3.424138)(87.92747,34.77419)(25.77419,14.07252)(65.54472,44.91761)(52.77419,58.07253)(66.39017,41.0722)(23.45528,70.08239)(-2.66671,62.79172)(89.77419,-0.9274769)(42.94559,59.7891)(-2.66671,62.79172)(23.45528,70.08239)(89.77419,-0.9274769)(42.94559,59.7891)(66.39017,41.0722)(-2.66671,62.79172)(23.45528,70.08239)(89.77419,-0.9274769)(42.94559,59.7891)(66.39017,41.0722)(72.54031,18.69318)(1.945595,33.7891)(47.94559,18.7891)(25.05441,26.2109)(79.20828,14.33329)(25.05441,26.2109)(1.945595,33.7891)(47.94559,18.7891)(79.20828,14.33329)(72.54031,18.69318)(1.945595,33.7891)(25.05441,26.2109)(72.54031,18.69318)(47.94559,18.7891)(79.20828,14.33329)


