Desktop	1280x720 50Hz
Date	7/16/2014
BalanceBoard	FALSE
StartTime	10:27 AM
EndTime	10:29 AM
Participant Code	OVR
Session	scene_definition.xml
Gameplay	ObstacleAvoidance


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	start	level_1	(31; 2.9988)	5.542244	0
	Action	forward	speed_1	(31; 2.9988)	15.90034	10.35809
	Event	passed_obs	obs_bike	(31; 8.52179)	19.94123	4.040896
	Action	stop	intersection	(31; 12.51055)	22.81377	2.87254
	Action	turn	left	(31; 12.64921)	60.72712	37.91334
	Event	gem_collected	5	(31; 12.64921)	60.72712	0
	Action	start lean	left	(31; 12.64921)	60.75103	0.02391815
	Action	stop lean	left	(30.98933; 12.66554)	60.79925	0.04821777
	Action	start lean	right	(28.24135; 13.78057)	63.2182	2.418953
	Action	stop lean	right	(25.0955; 15.59137)	65.46404	2.245831
	Event	passed_obs	obs_bike	(22.48993; 15.66693)	67.3052	1.841164
	Action	stop	intersection	(18.49708; 15.66693)	70.1778	2.872597
	Action	turn	left	(18.36916; 15.66693)	71.65157	1.47377
	Event	gem_collected	2	(18.36916; 15.66693)	71.65157	0
	Action	start lean	left	(18.36916; 15.66693)	71.66996	0.01839447
	Action	stop lean	left	(18.34229; 15.64956)	71.72996	0.05999756
	Event	start	level_2	(62; 2.9976)	79.47443	7.744469
	Action	forward	speed_1	(62; 2.9976)	87.20542	7.730995
	Action	start lean	left	(62; 3.335006)	87.56746	0.3620377
	Action	stop lean	left	(60.13419; 6.580742)	89.89031	2.322853
	Action	start lean	right	(60.07; 8.068172)	90.9552	1.064888
	Event	passed_obs	obs_bench	(60.26701; 8.52901)	91.25924	0.304039
	Action	stop lean	right	(60.93867; 9.655515)	92.08447	0.8252258
	Action	start lean	right	(61.0214; 11.1852)	93.1819	1.097435
	Action	stop lean	right	(61.4818; 12.08788)	93.82324	0.6413422
	Action	stop	intersection	(61.55587; 12.51671)	94.13071	0.3074646
	Action	turn	right	(61.55916; 12.6466)	94.53239	0.4016876
	Event	gem_collected	5	(61.55916; 12.6466)	94.53239	0
	Action	start lean	right	(61.55918; 12.6472)	94.55495	0.02255249
	Action	stop lean	right	(61.59217; 12.69658)	94.64544	0.09049225
	Action	start lean	left	(66.1323; 13.97527)	98.36926	3.723816
	Action	stop lean	left	(69.59949; 15.98249)	100.8474	2.478188
	Action	start lean	left	(71.83685; 16.05576)	102.4455	1.598099
	Action	stop lean	left	(72.09071; 16.14671)	102.629	0.1834335
	Action	start lean	left	(72.34645; 16.20015)	102.8103	0.181282
	Action	stop lean	left	(72.55039; 16.27216)	102.9543	0.144043
	Event	passed_obs	obs_ball	(76.3569; 16.33103)	105.6536	2.69928
	Action	backward	stop	(80.04574; 16.33103)	108.3066	2.653038
	Action	forward	speed_1	(80.18283; 16.33103)	112.3977	4.091103
	Action	start lean	left	(80.24391; 16.33103)	112.5188	0.1210327
	Action	stop lean	left	(84.19898; 18.65709)	115.371	2.852203
	Event	passed_obs	obs_bench	(84.68118; 18.7243)	115.6961	0.3251724
	Action	stop	intersection	(94.52295; 18.72582)	122.7448	7.048683
	Action	turn	left	(94.63336; 18.72582)	123.0784	0.3335953
	Event	gem_collected	1	(94.63336; 18.72582)	123.0784	0
	Action	start lean	left	(94.63386; 18.72582)	123.097	0.01854706
	Action	stop lean	left	(94.70897; 18.77636)	123.2087	0.1117249
	Action	start lean	right	(94.79169; 18.81417)	123.2824	0.07370758
	Action	stop lean	right	(97.29153; 19.76571)	125.0706	1.788216
	Action	start lean	right	(97.35587; 20.39858)	125.5226	0.4520416
	Action	stop lean	right	(98.20219; 21.9159)	126.6066	1.083939
	Action	start lean	right	(98.2663; 22.51558)	127.0356	0.4290009
	Action	backward	stop	(98.63168; 23.23004)	127.5437	0.5081329
	Action	forward	speed_1	(98.70773; 23.35704)	131.0428	3.499039
	Action	stop lean	right	(98.70773; 23.35704)	131.0656	0.02281189
	Action	start lean	left	(98.70773; 23.40761)	131.1552	0.08961487
	Action	stop lean	left	(98.09763; 24.50157)	131.9774	0.8222198
	Action	start lean	right	(98.0403; 24.69098)	132.1148	0.1373749
	Action	stop lean	right	(98.33448; 25.35346)	132.5871	0.4723358
	Action	start lean	left	(98.41147; 28.67008)	134.9574	2.370316
	Action	stop lean	left	(97.39465; 30.49387)	136.2581	1.30069
	Action	stop	intersection	(97.32137; 31.50648)	136.9798	0.7217102
	Action	turn	left	(97.32134; 31.62572)	137.4455	0.4656372
	Event	gem_collected	1	(97.32134; 31.62572)	137.4455	0
	Action	start lean	left	(97.32134; 31.62591)	137.4681	0.0226593
	Action	stop lean	left	(97.28041; 31.68674)	137.5668	0.09869385
	Action	start lean	left	(96.6597; 32.79441)	138.518	0.9511414
	Action	stop lean	left	(95.81093; 32.83522)	139.0736	0.5556641
	Action	start lean	left	(94.5937; 32.82327)	139.9365	0.862854
	Action	stop lean	left	(93.9967; 32.55232)	140.3636	0.4270935
	Event	hit_ped	PedestrianCollider	(93.40259; 32.4686)	140.7631	0.3995667
	Event	hit_ped	PedestrianCollider	(92.87194; 32.46622)	141.1422	0.3790894
	Action	start lean	right	(92.06467; 32.46611)	141.7439	0.6016541
	Action	stop lean	right	(91.6629; 32.62745)	142.0286	0.2846985
	Event	start	level_3	(41.9988; 2.9988)	153.4119	11.38333


Summary
Bonus Taken	Level Time	Obstacle Passed	Obstacle Hit	Pedestrian Hit	Level
2	60	2	0	0	1
3	60	3	0	2	2


Map Info
Intersections	(0,0)(27,0)(42,0)(69,0)(97,0)(0,15)(27,15)(42,15)(69,15)(97,15)(0,30)(27,30)(42,30)(69,30)(97,30)(0,56)(27,56)(42,56)(69,56)(97,56)
Targets	(4.693178,74.45969)(15.08239,33.54472)(97.66671,56.20828)(72.77419,-0.9274769)(1.666708,47.20828)(15.08239,33.54472)(1.666708,47.20828)(72.77419,-0.9274769)(4.693178,74.45969)(97.66671,56.20828)(97.66671,56.20828)(15.08239,33.54472)(1.666708,47.20828)(4.693178,74.45969)(72.77419,-0.9274769)(61.45969,11.30682)(56.32657,0.9064741)(56.32657,19.90648)(67.67343,50.09352)(89.79172,36.66671)(61.45969,11.30682)(56.32657,19.90648)(67.67343,50.09352)(89.79172,36.66671)(56.32657,0.9064741)(89.79172,36.66671)(61.45969,11.30682)(56.32657,19.90648)(67.67343,50.09352)(56.32657,0.9064741)(98.92747,2.774193)(41.08389,26.57586)(90.22581,0.9274774)(2.945595,18.7891)(27.92747,35.77419)(27.92747,35.77419)(98.92747,2.774193)(2.945595,18.7891)(90.22581,0.9274774)(41.08389,26.57586)(2.945595,18.7891)(90.22581,0.9274774)(27.92747,35.77419)(41.08389,26.57586)(98.92747,2.774193)


